anio	trimestre	categoria	unidades	total_lps
2025	1	Pasteleria	217	176353.00
2025	1	Panaderia	8248	151039.00
2025	1	Reposteria	791	77124.00
2025	2	Pasteleria	262	205830.00
2025	2	Panaderia	8249	165961.00
2025	2	Reposteria	862	89988.00
2025	3	Pasteleria	394	265069.00
2025	3	Panaderia	10336	224328.00
2025	3	Reposteria	1119	92967.00
2025	3	Cafeteria	191	9690.00
2025	4	Pasteleria	555	330791.00
2025	4	Panaderia	9028	200698.00
2025	4	Reposteria	1386	112631.00
2025	4	Cafeteria	528	27097.00
2026	1	Pasteleria	477	254012.00
2026	1	Panaderia	9482	200428.00
2026	1	Reposteria	1551	131682.00
2026	1	Cafeteria	427	20792.00
2026	2	Pasteleria	461	264180.00
2026	2	Panaderia	11172	234300.00
2026	2	Reposteria	1596	159855.00
2026	2	Cafeteria	478	23226.00
2026	3	Panaderia	2347	49795.00
2026	3	Pasteleria	81	45390.00
2026	3	Reposteria	294	25211.00
2026	3	Cafeteria	111	5388.00
